toxic_comment,neutral_comment1
эту рыжую крысу чубайса уже давно не видно нигде,этого чубайса уже давно не видно нигде
"ты, чмошница, живи, как хочешь, ебись с кем хочешь, чувырла гребанная! скоро получите, что хотите! вперёд на майдан!!!","Ну и живи, как хочешь, скоро получите, что хотите! Вперёд на майдан!!!"
товарищ задержанный комиссар говорит что депутатская у него неприкосновенность расстрелять и прикасаться не,"Товарищ задержанный комиссар говорит, что депутатская у него неприкосновенность"
"дебилы пишут, только для кого народ и так давно прозрел",Для кого они пишут? Народ и так давно прозрел.
и ихние ублюдки будут прекрасно жить,И ихние потомки будут прекрасно жить
"не надо говорить о себе во множественном числе, чмо не доделанное.",не надо говорить о себе во множественном числе
иди мимо если не нравится хули коментируешь мокрошелка ебучяя,"Иди мимо если не нравится, что комментируешь"
где ты там русских баб то углядела??)))явные корейские пиздоглазки))(,Где ты там русских девушек увидела? Явно корейские
"вообще, сука, очень везучий по жизни знак, что несолько компенсирует постоянное отсутствие у него бабла","вообще очень везучий по жизни знак, что несколько компенсирует отсутствие у него денег"
"сказала охуевшим продавцам, что трахаюсь без гандонов и пошли бы вы со своими масками в очко 😅😅😅","сказала продавцам, что не использую презервативы и маску одевать не буду"
долбаебы наркомана конченного сравнивают с бандитом,наркомана нельзя сравнивать с бандитом
в армейке таких трахали за каждым углом,в армейке над таких постоянно издевались
если не блять то смени фото путний мужик на это не купится,"Если нормальная женщина, то смени фото, путевый мужик на это не купится"
"отсосинка голубкова, ты уже показала какая ты идиотка, может хватит","голубкова, ты уже показала свои способности, может хватит"
что делают деньги? почему сука таких защитников не судят?,Что делают деньги? Почему таких защитников не судят
"Сука, как же я обосрался с этого шерлока, до слёз блять","Как же я удивился с этого шерлока, до слез"
"ты что хохлоблядь не знаешь, что ваша мова это сленг польских холопов","Ты что не знаешь, что ваш язык - это польский сленг"
ты что сука хочешь науськать нашу молодежь на протесты против власти и отправить их на бойню,Ты хочешь нашу молодёжь отправить на протесты против власти?
А мразота продолжает устанавливать свои тоталитарные порядки,власть продолжает устанавливать свои тоталитарные порядки
найти этого мужчину и оторвать ему его потряхушки,Найти этого мужчину и наказать
"читая твои гнусные писульки видно, что ты образован, наверное имеешь высшее образование, а может и не одно","Читая твои записи видно, что ты образован, наверное, имеешь высшее образование, а может и не одно"
"ты же сука видишь что происходит,,, сибирячка,,, хуева",Ты видишь что происходит сибирячка
"ну и нахуя так делать,админ,ты же взрослый чел,убери эту муть, 😆",Зачем так делать администратор убери это
"а значит, тебе, тварь, и возразить то уже нечем",Возразить то уже нечем
"зла блядь не хватает, читая этот бред....","Зла не хватает, читая этот бред"
такие уроды во все времена были не только в путинские,Такие люди во все времена были не только в путинские
А она не с рождения приближается? ЧТО ЗА ХУЙНЯ???,А она не с рождения приближается? Что за ерунда?
долбаебы вы со своими протестами наплачетесь,Вы со своими протестами ещё наплачетесь.
"Пятеро детей, но отец и мать всю жизнь дули в жопу самому младшему","Пятеро детей, но отец и мать всю жизнь любили самого младшего"
вот ребята что делают деньги у негопидора совести не хватает признать себя виноватым трус и подонок,Вот что делают деньги если не хватает совести признать себя виноватым
"интересно дети её знают что её называют соска конченая , проститутка .",интересно дети её знают как её называют
"вы суки, когда уже перестаните этой хуйней заниматься? если денег до хрена отдай ты у кого его нет","вы ,когда уже перестаните этим заниматься? если денег много отдай ты у кого его нет"
и что этого пидора не отпорол никто???,И что его никто не наказал?
"Обратите внимание, какой он ультрабыдлан, в конце говорит: Умываться - для педиков","Обратите внимание, какой он! В конце говорит: умываться не для мужчин"
продажные твари опять хотите в 90-е,Опять хотите в 90-е?
.что вы твари безродные делаете????дак и киев уже переименуйте назовите жопа😡,Что ж вы делаете? И  Киев тогда уже переименуйте!
с этой фразой я стал ненавидеть это хуйло.и как показало время я не ошибся,"После этой фразы я разочаровался в нём. И время показало, что я был прав."
хуй знает что это это долбоеб написал слыхал дзвин а не знает где вин,Незнаю что он написал.слыхал звон да не знает где он
остаётся это дерьмо смыть в унитаз.,Придётся это смыть в унитазе.
А вот и отсылочки к фильмам для дегенератов подъехали,А вот и отсылки к фильмам начались
стыдно за дебилов которые такое придумывают!!!!!!!!,стыдно за таких которые такое придумывают
украинская пидрильно -либеральная схема ..юным добилам на карту по 10 евро за выход на митинг кидают .,Демонстрантам из Украины за выход на митинг платят по 10 евро на карту
"белоручек и долбоёбов, ими легче управлять.","белоручек, ими легче управлять."
"хм, я бы ей маршала дал) а ты соси!)","Я бы ей маршала дал, а тебе нет"
Ну не прямо сразу же ватан бросился к своему кредитному ноутпуку,Не сразу же он бросился к своему ноутбуку
ну не любят в россии пидарасню если,Не любят в России таких людей
что пиздеть то ну видно же что не настоящая,"Что врать то, ну видно же что не настоящаяя"
обосрала машину ещё и наверное шум гам устроила..,Раскритиковала машину ещё и шум устроила
"а что вы раньше не знали, что он алкаш и дерьмо.","А что вы раньше не знали, что у него алкогольная зависимость"
"Этот шакал еще жив? Хуя, года четыре его не видел..",Он еще жив? Четыре года его не видел.
почему эта сволочь до сих пор на свободе...!?,Почему он до сих пор на свободе!?
планирует пригласить к тебе опытного мужчину😂😂😂 писари хуевы,Планирует пригласить к тебе опытного мужчину.
у такого урода рука не дрогнет убить человека,У него рука не дрогнет убить человека
слышь ты алеша хуинная голова пусть девочка работает,"слушай, пусть девочка работает"
"какой по счету ? ты хоть помнишь, сколько км отсосала куёв ?",Какой по счету? Ты хоть помнишь?
"Пойми, пидорюндель, что вы потеряли Украину НАВСЕГДА","Пойми, что вы потеряли Украину навсегда"
"сам ты, бондарь укрожопый, ебанутый, коль уже и написать ничего не можешь, а картинки рассылаешь одни и те же",Коль уже и написать ничего не можешь а картирки рассылаешь однт и те же
"что ты ограничил доступ к прослушиванию, слушай сам в одно рыло мурло","что ты ограничил доступ к прослушиванию, слушай сам наедине с собой"
"Лол чё за херня в комментах, все красаучеги)","Что за ерунда в комментариях, все же красавчики :)"
"вот мрази!!! уже до птиц добрались!!! находить этих выродков, и наказывать по полной!!! быдло!!!😡😡😡",Уже до птиц добрались! Находить их и наказывать по полной!
он не один таких дебилов полон мир.,"Он не один, таких людей полон мир"
"видела какой пидор, хотя бы доехала а так осталась с детьми на трассе","Видела какой человек, хотя бы доехала, а так осталась с детьми на трасе"
"нашёл сука кого пугать..сам то небось в штаны бы наложил от страха, долбоеб😜","Не пугай меня, сам то наверное испугался"
если с сергеем ивановичем что то случится пизда вам блядям,"Если с Сергеем Ивановичем что-то случится, вам будет плохо."
"вот тебе не стыдно, здоровая бабища, а обманываешь людей и зарабатываешь на этом! иди работай лживая тварь!",Тебе не стыдно обманывать людей и зарабатывать на этом? Иди работать
"короновирус не напугал,теперь пугают чумой,ебанутый мозгов палата.","Короновирус не напугал, теперь пугают чумой"
"ты совсем дурачок, хохол? что такое по твоему построенная новая дорога?",что такое по твоему построенная новая дорога?
как же без кавида гребаного!!! мать его дири!!!,Как же без ковида!
"ты целыми днями свою жопу фоткаешь..? крупно завалила ок ими....не пойму,тебя не ебут? или это хобби?",ты целыми днями себя фотографируешь? Это хобби такое?
пидоры проверяют вас на трусливость и рабопоклонение.по маскам видно что рабов и быдла у нас пруд пруди.,проверяют вас на трусливость и покорность.по маскам видно что послушных людей у нас пруд пруди.
савсем твари страх потеряли херли с кабинета не пиздеть с зарплатой за сотку,"Совсем страх потеряли, с кабинета легко говорить с зарплатой за сотку"
на которых все власть имущие положили большой и толстый хуй,На которых все власть имущие наплевали
Тебе в любой теме пиздануть такое надо?,тебе в любой теме такое надо сказать?
"а я бы помогла, твари конченые",А  я бы помогла.
"У тебя Порошенко массовые вбросы на выборах готовит, а ты о москолях думаешь","у тебя порошенка массовые вбросы на выборах готовит, а ты о русских думаешь"
дебилы вам же жить в этом городе,Вам же жить в этом городе
у меня вопрос??? где они такие данные берут???как они задолбали эти пиздаболы!!!!,у меня вопрос??? где они такие данные берут???как они достали
"врач от бога, а законы пишут дебилы.","Врач от бога, а законы пишут неграмотные"
"а этой твари и 5 достаточно,",А ему и 5 достаточно
"ну раз ты не херовый, давай хоть 1 ссылку после которой можно забыл что искал или пиздабол?","Ну тогда давай хоть 1 ссылку, после которой можно забыть, что искал."
"? хуй, залупу ! никто и ни где никому и ничего не дал",никто и ни где никому и ничего не дал
"дура блядь, в такой день и без парашюта",В такой день и без парашюта.
"Ты деньги заплатил ему блять, а то треды он создает здесь","Ты деньги заплатил емк, а то он треды здесь создает."
и эти идиоты его приводят в пример))) =,И эти люди его приводят в пример))) =
"он не виноват! его назначили он насосал , а мы позволили!!! с кого спрос?","Он не виноват! Его назначили,а мы позволили!с кого спрос?"
"Просто мы все наивные дурачки, повелись на образ за которым прятался типичный Ероха.","Просто мы наивные, повелось на образ, за которым прятался Ероха."
самое интересное что пидор получил бесплатное образование от коммуняг и испражняет пакостные идеи вонючим ртом,самое интересное что он получил бесплатное образование от коммунистов и выдаёт пакостные идеи
ды каких нахер националистов? в открытую фашистов тренируют,да каких националистов? в открытую фашистов тренируют
"зомби апокалипсис ! долбаёбы ,в европу собрались????? удачи!!!!!!!!!!!!",зомби апокалипсис ! в европу собрались????? удачи!!!!!!!!!!!!
"у нас в марселе ебануло сожгли конюшни в 8 местах, пидарасы😡",у нас в марселе  сожгли конюшни в 8 местах
мы не ей класс поставим а тебе гандон,"Мы не ей класс поставим, а тебе."
"и что, пойдёшь с придурками малолетники и старыми алкашами против своего верховного главнокомандующего?",Пойдешь с молодежью и стариками против верховнокомандующего?
"на дворе 21 век, а эти пидоры хвалятся прошлым веком",На дворе 21 век а эти люди хвалятся прошлым веком
козлы вы почему не смотрити за своими выблядками,вы почему не смотрити за своими детьми
"а пидор жыд путин то и обнулился , здесь и сейчас","А Путин обнулился,здесь и сейчас"
вот бы ему приставить ко лбу наверное обгадился бы сволочь,"Вот бы ему приставить ко лбу, испугался бы наверное очень!"
"так вот как ты выглядиш , уебище !!!",так вот как ты выглядиш
"пиздешь, неужели не понимает что никто не верят а смеются , ну ебнутая и всё","Вранье. Не ужели не понимает, что никто не верят, а смеются."
не надо всех коммунистов ровнять! у вас в родне и то всяких тварей!!!!!,Не надо всех коммунистов ровнять! У вас в родне кого только нет!
прикинь какую маску надо на это ебло,"Прикинь, какую маску надо на это лицо"
"ой класс,не увидим больше эту хуёвую рожу!","Ой класс, не увидим больше это лицо!"
посмотрим кто кого в рот будет ебат,посмотрим кто кого
"Ты опять выходишь на связь, шизик, тебя уже исключили из твоей сортиростроительной шараги?",Ты опять выходишь на связь? Тебя уже исключили из твоей строительной конторы?
И гитлара и сралина одинаково усатыми жопами считаются,и гитлер и сталин одинаково усатыми лидерами считаются
гои проклятые не надоело вам орать,не надоело вам орать
"нарисуй кентюх какая у тебя пенсия, сколько тебе лет, и кто и сколько платит тебе за эту хуйню!!!","Напиши какая у тебя пенсия, сколько лет, и кто и сколько платит тебе за это"
зажрались депутаты уже их тварей на завод отправить а работяга на их должность вот тогда будет толк,Заелись депутаты уже их людей на завод отправить а работяги на их должность вот тогда толк будет
таких уродов и засранцев надо штрафовать и ощутимо,Таким людям надо выписывать штраф
Скопил! Аха-ха-ха-ха! Скопил! Во отмочил шутку! ),Скопил! Аха-ха-ха! Скопил! Во пошутил!)
Бля...что за название Тапок? Кто-нибудь может объяснить?,Что за название Тапок? Кто-нибудь может объяснить?
сука там и михаил топчется рядом,Там и михаил топчется рядом
и что? повесите потом человека? не бывать вашей власти гребаные твари,И что?накажите потом человека?не бывать вашей власти
найти и вернуть деньги народа! а хмыря на кол,Найти и вернуть деньги народа! А виновных наказать.
что за пидор тебе дал такую фамилию,Кто тебе дал такую фамилию?
Щищенцы на аналогичном видосе хотели заставить такого барыгу сожрать его товар,Чеченцы хотели на похожем видео заставить торговца съесть его товар
спартак мы всеровно с тобой остальные пусть хуй сосут кто так судит,"Спартак мы все равно с тобой, остальные пускай отстанут, кто так судит"
"на кол урода, как таких земля носит",Как таких земля носит
"Если и нужен канал, то без всякого лишнего пиздежа и выебонов",Если и нужен канал то без лишних слов
"лесик, ты проебалтам позавидовал? ну ты дебил","Лесик, ты прибалтам позавидовал? Ну ты странный"
"а действительно кокарды то советские , вот дебилы б...дь !!!",действительно кокарды то советские
"расстрелять падлу и точка.забрал жизнь,плоти гнида тем же,и никаких адвокатов,смертельный исход,всё,на плаху за яйца.","забрал жизнь,плоти тем же,и никаких адвокатов"
"Вот, учитесь у этой проплатки создавать треды, окатыши","Вот,учитесь у этой девушки создавать тренды"
это детям своим пример показываешь ? шлюндра с вонючим срачом,это детям своим пример показываешь ?
росбыдло любит вождя и вождь любит росбыдло!,Русские любят вождя и вождь любит русских!
"вы нечисть, кто кому платит,вы там зажрались в краснодаре, несете всякую чушь.хорошо живете тупорылые.",Кто кому платит? Вы там в краснодаре всякую чушь несете! Хорошо живете
на этот раз передача власти по наследству? как же надоела эта тварь.,на этот раз передача власти по наследству? как же надоело это существо
Как же обоссаная путинская власть всего боится.,как же путинская власть всего боится
"пидерасты! это вместо того, чтобы родину защищать от западной твари!","плохие люди! это вместо того, чтобы родину защищать от запада!"
"Не урод-нытик-девственник который называет себя хикканом, не передёргивай","Недотрога,который называет себя непонятно кем,не передергивай.."
на грубость я то же отвечу грубостью иди отсоси у своего барина и в стойло там и успокоишься воспитанный человек,На грубость я тоже отвечу грубостью
"вообще -то хабаровск никуда и не ,,уходил как бы , а все подобные ,,высеры надо душить на корню .","Вообще то, Хабаровск никуда и не уходил, а все подобные высказывания надо пресекать на корню."
у вовы их нет раз он как ебал нас тк и ебёт питух лысый,У Вовы их нет раз он как обманывал так и продолжает обманывать
с каких хуёв я стал твоим? то све а тоже до хуя зависит! святоша ты....!,С какой стати я стал твоим?то све а тоже много зависит! Наивная ты...!
"че ты там пизданула, мразь, придет и еще как, ты уже 20 лет живешь при таком режими","Что ты сказала, придёт и ещё как, ты уже 20 лет живёшь при таком режиме"
"казнить её на московской площади прилюдно надо, а не размеры пенсии устанавливать!","Наказать ее надо, а не размеры пенсии устанавливать!"
"спасатель? просто петух чванливый, взял наших пацанов в заложники и торгуется",Разве он спасатель? Просто взял наших пацанов в заложники и торгуется
"сумасшедшая и слабоумная,ты в сое свидетельство о рождении загляни,вспомнишь как тя звать","Ты в свое свидетельство о рождении загляни, вспомнишь как тебя зовут."
не дай бог моя дочь так оденется убью нахуй палкой,не дай бог моя дочь так оденется!
здесь ебаный ты букварь ты с какой планеты вообще ?,Ты вообще откуда такой?
а не пошёл бы ты на....уй со своей усраиной,Отстань от меня со своей Украиной
меня во всех ветках победили пидоры,Меня во всех ветках победили
"запоребриковым пидарасам можно вручать золото, а серебро девкам","Запоребриковым людям можно вручать золото,а серебро девкам"
твари уже не знают как ещё над людми поиздеваться:(,Уже не знают как ещё над людьми поиздеваться
я хуею от этих законов ну если ты нарушил отвечай падла,я поражён этими законами ну если ты нарушил отвечай
"действительно дебил,нечего тут зазорного.нормальная фотка и сама бабка","Действительно, нечего тут зазорного.нормальная фотка и сама женщина"
"Нет, смотри: Я - русский, а азеры и узбеки - черножопые","Нет, смотри: Я - русский, а азербайджанцы и узбеки - нет"
а какой идиот задаёт такой вопрос?,А кто задаёт такой вопрос ?
"Ты долбоеб, все анархисты левые априори, свободный рынок это часть государства, кусок дерьма.",Все анархисты левые априори свободный рынок это часть государства
"козел,чмо,ему надо выстрелить в яйца.чем ему помешал маленький котенок.что-б ему также поставили этот-пистолет к яйцам.",чем ему помешал маленький котенок. надо ему вынести наказание.
"ты сам мразь,молодец олечка! прав лукашенко-не уподобился януковичу своему беркута запретил применять силу, оставив их на растерзание вооруженной толпы!","Молодец, Олечка! Прав Лукашенко- не уподобился Януковичу, Беркуту запретил применять силу, оставив их на растерзание вооруженной толпы!"
"Начал хорошо, а по итогу доебался до орфографии","Начал хорошо, а по итогу придрался к орфографии"
Боровиков грязный либерастический жид розжигает вражду между русскими и татарами..,Боровиков разжигает вражду между русскими и татарами
"Шта? я не съезжаю, просто ты херню лютую пишешь, сам бы свою мат","Я не съезжаб, ты ерунду не пиши"
"да, мразь, сделавшая такое, не заслуживает снисхождения! но бумеранг то прилетит...","Человек, совершивший такое, не заслуживает снисхождения! Но бумеранг то прилетит"
виновных именем народов ссср - расстрелять!!!....,Виновных именем народов СССР- наказать
"два дебила, один позволил так себя калечить, другой увечит человека.","Два глупца, один позволил себя калечит, другой увечит человека"
правильно говарите а астальную чуш могут писать те кто тяжелей хуя в руках не держали,"правильно говорите, а остальную чушь могут писать те, кто не привык работать"
"дурконедоносок, каждый дрочет, как он хочет",каждый поступает как он хочет
От этого пострадают только всякие усть-перепиздюйск-телекомы с 3.5 сотрудниками,От этого пострадают только небольшие телекомпании
зюга наверное применил запрещенный стиль конченого долбоеба,"Зюганов, наверное, применил какой-то запрещённый приём."
это хуета а не игра бараны ебаные,"Это такая ерунда, а не игра"
"даже в берлине, г путин не даёт покоя, долбеням, ну смешно право,","Даже в Берлине Путин не даёт покоя, смешно"
"лучше пиши,твои мемуары о хуесосании будут тебя кормить хорошо)","лучше пиши, твои мемуары будут тебя кормить хорошо )"
ну придурок! а когда тебя начнут прессовать оппозиционэрыы у кого помощ просить будеш? неужели у россии?,"а когда тебя начнут прессовать оппозиционеры,  у кого помощь просить будешь? неужели у России?"
"кусай за хуй собака злая.с тобой вежливо,как с человеком мож чего то не понимающего,а ты чмо поступаешь ,как долбоеб","с тобой вежливо, как с человеком мож чего-то не понимающего, а ты поступаешь нехорошо"
"Киевская Русь-Украина больше тысячи лет существует, пидораны",Киевская Русь-Украина больше тысячи лет существует.
"приехала хер знает откуда, подняла лапу, пописала на столб, взбунтовала дураков, и съебалась","приехала неизвестно откуда, навела смуту и уехала"
"ну, зато, за демонстрации голой сраки, стыдно не бывает.",Ну зато за голую попу стыдно не бывает
"урод не то слово,явно хочет прозвездится ,не могу понять этих уродов","Явно хочет прозвездиться,не могу понять этих людей"
"батько сказал майдана не будет, не позволю дербанить страну !!! а проплаченых пиздить нужно....!!!","Батько сказал Майдана не будет, не позволю рушить страну! А проплаченные не нужны"
"сам конечно этот пидорас для страны ни хрена не сделал, а только ищет для своей раздолбленной жопы удовольствие","Сам конечно он для страны ничего не делал, думает только о своём удовольствии"
"херню сделали рукожопые , сливов с крыши нет","Ужасно сделали,сливов с крыши нет"
Да не утруждай себя убуждением этих поехваших,Да не утруждай себя убеждением этих людей
козел и адвокат черножопый видать хорошую сумму ему отстигнули вот жалко растоваца,адвакат афроамериканец видать хорошую суму ему заплатили вот жалко раставатца
а один пидар сказал что ссср выпускали только галоши,А один человек сказал что ссср выпускали только галоши
"Сука, вот что за гнилой народец? Лишь бы перед москалями повыебываться и покрасоваться, мол не мерзнете вы","Что за непонятный народ? Лишь бы перед московским народом повыделоваться и покрасоваться, мол не мёрзнете"
"Каклы, вы уж там определитесь, нужен вам москальский газ или нет",Вы уже определённо должны решить нужен ли вам этот московский газ
теперь он грабит её со своими наглососами!!!,Теперь он грабит ее со своими людьми
те твари которые выкидывают все равно не поймут,Те люди которые выкидывают все равно не поймут
это чё за долбоебы всякую хуйню пишут,Это че за люди всякую ерунду пишут
что бы знал придурок как это хорошо!!!,чтобы знал как это хорошо!
заебали берите лицензию и пиздуйте капать нефть а то видите их недры варуют тупые заподные проститутки :d,"Берите лицензию и идите капать нефть, а то видите их недры ворует запад"
"ты ему благодарен за то, что он тебя, гомосятину удовлетворил?",Ты ему благодарен за что он тебя удовлетворил
да пидори они.в глаза не могут...все из под .из-за угла.,"В глаза не могут , все из под угла"
и эта гнида о чём-то ещё метает? охуеть...,она о чём-то ещё метает?
пиздабол сказочный в историю так войдет,Сказочник в историю так войдёт
а в масштабах страны (единая пидросия),А в масштабах страны едина россия
зналбы что ты такое вонючее говно...,знал бы что ты такой...
долбоеб все это подъебон.иди трудись во благо,Все это вранье. Иди трудись во благо
Она шалава скидывающая голые фотки в первые минуты общения,она сразу скидывает свои откровенные фотки
затрахали путиноиды гребанные!! все хвалят и хвалят этого президента,Надоели эти люди!!всё хвалят и хвалят этого президента
слыш дядя нахуй пошол ты походу больной если такими словами кидаешся,Дядя уходи ты похоже не здоров если такие слова говоришь
да признайте лучше своё порожение и валите к своей мамки соросу и сасите его сиську,Да признайте уже свое поражение и бегите к мамке под крыло
в блокадном ленинграде в жопу выебле-бы!!!!!,В блокадном Ленинграде наказали бы
"вот не люблю этот тупой пиздеж, аж противно","Вот не люблю ложь, неприятно."
когда этих хварей начнут отстреливать они запоют по другому,"Когда их будут наказывать, они запоют по другому"
за это можно и нужно надрать уши или задницу,за это можно и нужно назначить наказание
"этих тварей надо поджечь и не жалко этих выродков кто воспитывает! бедная собачка, очень жалко, как ей больно!","У этих людей нет жалости! Бедная собачка, очень жалко, как ей больно!"
"поздно хватился дядя,говно отмывать трудно изволяли хорошо.сука сванидзе иже с ним.","Поздно схватился дядя, грязь отмывать трудно , изволяли хорошо Сванидзе с ним"
"Так высрал же тебе на лицо, а ты утерся и отреагировал, ну че ты как маленький.",Он оскорбил тебя. А ты утерся и отреагировал. Нучто ты как маленький?
она дура дать ей 10000 тысач и пускай она живет дура есть дура,"Дать ей 10000 тысяч, и пусть она живёт."
с судьями и с var не футбол а хуйня какая-то,"С судьями и спонсорами не футбол, а ерунда какая-то"
русским поляки ближе чем каклы что ли получается?,Неужели русским поляки ближе братьев украинцев?
пора расстрелять таких слуг народа.,Надоели такие слуги народа.
"а еще пиз,,,,ят на всю страну что у нас армия на уровне случись заварушка шмарьем буде\м отбиваться","Говорят на всю страну, что у нас армия на уровне, а случись что, как будем поступать?"
"стручковый хера ты фотки с нэта сюда скидуешь, хочешь чтобы я тебя как кузьмина опустила и изгнала с групп.","Если ты будешь публиковать чужие фотографии, то я буду вынуждена исключить тебя из группы"
заебали набирать лайки на чужом горе!!!!,Хватит набирать лайки на чужом горе
согласен правда с маленькой поправкой на кол их надо сажать,"Согласен, правда, с маленькой поправкой. Нужно жестоко их наказывать."
"звери намного благороднее , а это продажные выродки , выблядки рода (к сожалению) человеческого",звери намного благороднее рода (к сожалению) человеческого
"нихуя ты вдуваешь, неужели сам придумал, или твой куратор дебил конченный?","Ничего себе ты врешь! Сам придумал, или твой куратор?"
"дави их блядей, батька, дави. не давай страну разорить","Наказывай их, предателей, батька, наказывай! Не давай страну разорить"
На эту песню есть уже прекрасный кавер на русском Кожаный Олень - Афанасий-бомж Ох енный трек),"На эту песню есть уже прекрасный кавер Кожаный Олень -Афагасий ,человек,которому негде жить обалденный трек"
